J,alphaInt,E_final,abs_Mx,abs_Mz_AFM,Mz_AFM_sq
1.75,5.5,-59.655528485385425,0.306272607686528,0.041156768798828125,0.9038025140762329
1.5,5.5,-52.669827255666576,0.3674501563231922,0.011087417602539062,0.8615810871124268
1.25,5.5,-46.086292842932494,0.46015163381793306,0.045284271240234375,0.7662992477416992
1.0,5.5,-40.42005697556849,0.6556560158279575,0.017435073852539062,0.41311144828796387
0.75,5.5,-36.57287103966609,0.8469201367689436,0.000194549560546875,0.09513497352600098
0.5,5.5,-34.00160494908097,0.9362773611304794,0.0014095306396484375,0.05735981464385986
2.0,6.0,-67.20718934013344,0.26436338150563066,0.00750732421875,0.9306358098983765
1.75,6.0,-59.941291003785686,0.3051223944168926,0.05573463439941406,0.9061564207077026
1.5,6.0,-52.9030089825156,0.3649325041243989,0.020282745361328125,0.8629094362258911
1.25,6.0,-46.2608697749569,0.4567733873865456,0.01175689697265625,0.7704784870147705
1.0,6.0,-40.50630648706927,0.6419688069419487,0.04014778137207031,0.4554523229598999
0.75,6.0,-36.60476456134323,0.8448175124670951,0.0006961822509765625,0.09567725658416748
0.5,6.0,-34.010550752695984,0.9348370589316637,0.000423431396484375,0.056218862533569336
